,ID2003_d,NM.2003,VCA,HKD,HKD_Sisa,HKDPer_2,HKDII,HKDII_tdklnjt,HKDII_tdkcair,YearI,YearII,YearIII,YearIV,Combined Boundary
228,1702051009,TALANG RATU,0,0,250000000,0,0,0,0,0,0,0,0,0
229,1702052008,UJUNG TANJUNG II,0,0,250000000,0,0,0,0,0,0,0,0,0
230,1702052009,UJUNG TANJUNG I,0,0,250000000,0,0,0,0,0,0,0,0,0
231,1702052010,MAGELANG BARU,0,0,250000000,0,0,0,0,0,0,0,0,0
232,1702052012,TABA SEBERANG,1,124997195,125002805,0.49998878,0,0,1,0,0,0,1,0
233,1702060021,EMBONG,0,0,250000000,0,0,0,0,0,0,0,0,0
234,1702060022,KOTA BARU,0,0,250000000,0,0,0,0,0,0,0,0,0
235,1702060023,KOTA AGUNG,1,124970930,125029070,0.49988372,0,0,1,0,0,1,0,0
236,1702060024,LIMAU,0,0,250000000,0,0,0,0,0,0,0,0,0
237,1702060035,LADANG PALEMBANG,0,0,250000000,0,0,0,0,0,0,0,0,0
238,1702060037,AIR KOPRAS,0,0,250000000,0,0,0,0,0,0,0,0,0
239,1702060038,TAMBANG SAWAH,0,0,250000000,0,0,0,0,0,0,0,0,0
240,1702060039,KETENONG SATU,1,250399930,-399930,1.00159972,1,0,0,1,0,0,0,0
241,1702060040,KETENONG DUA,0,0,250000000,0,0,0,0,0,0,0,0,0
242,1702060041,SEBELAT ULU,1,114948,249885052,0.000459792,0,1,0,0,0,1,0,0
243,1702061011,GUNUNG ALAM,0,0,250000000,0,0,0,0,0,0,0,0,0
244,1703072003,GIRI MULYA,0,0,250000000,0,0,0,0,0,0,0,0,0
245,1703091012,SP 7 BANGUN KARYA,0,0,250000000,0,0,0,0,0,0,0,0,0
246,1703091013,LEBONG TANDAI,0,0,250000000,0,0,0,0,0,0,0,0,0
247,1703091014,AIR TENANG,0,0,250000000,0,0,0,0,0,0,0,0,0
248,1703091015,TELUK ANGGUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
249,1703091016,TANJUNG KEMENYAN,1,121540000,128460000,0.48616,0,1,0,0,0,0,1,0
250,1703091017,MUARA SANTAN,1,124931275,125068725,0.4997251,0,1,0,0,1,0,0,0
251,1703110012,LUBUK TALANG,1,124939000,125061000,0.499756,0,0,1,0,0,1,0,0
252,1703111002,RETAK MUDIK,0,0,250000000,0,0,0,0,0,0,0,0,0
253,1703111006,DUSUN TUNGGANG,0,0,250000000,0,0,0,0,0,0,0,0,0
254,1703111007,AIR BERAU,0,0,250000000,0,0,0,0,0,0,0,0,0
255,1703111010,KUALA TERAMANG / AIR BIKUK,0,0,250000000,0,0,0,0,0,0,0,0,0
256,1703111012,PONDOK BARU,1,120961539,129038461,0.483846156,0,1,0,0,0,0,1,0
257,1703111013,BUNGA TANJUNG,0,0,250000000,0,0,0,0,0,0,0,0,0
258,1703120002,PENARIK,0,0,250000000,0,0,0,0,0,0,0,0,0
259,1703120005,BUKIT MAKMUR,0,0,250000000,0,0,0,0,0,0,0,0,0
260,1703120006,SUNGAI JERINJING,0,0,250000000,0,0,0,0,0,0,0,0,0
261,1703120007,PONDOK BARU,0,0,250000000,0,0,0,0,0,0,0,0,0
262,1703131013,PONDOK PANJANG,0,0,250000000,0,0,0,0,0,0,0,0,0
263,1703131015,LALANG LUAS,0,0,250000000,0,0,0,0,0,0,0,0,0
264,1703131016,TALANG PETAI,0,0,250000000,0,0,0,0,0,0,0,0,0
265,1703999999,SUKA MERINDU/TALANG ARAH/SUKA BARU,1,501706635,-251706635,0.66894218,0,0,1,1,0,0,0,1
,,,60,11719432320,54530567680,42.06933892,29,21,10,8,14,16,22,5
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,60,,
